tag,id,min_letter_mass,missing_letter_entries
ling_mini_base,57,0.994,0
ling_mini_base,58,0.9937,0
ling_mini_base,59,0.9954999999999999,0
ling_mini_base,60,0.9944000000000001,0
ling_mini_base,61,0.9932,0
ling_mini_base,62,0.9944999999999999,0
ling_mini_base,63,0.9932000000000001,0
ling_mini_base,64,0.9964999999999999,0
ling_mini_base,65,0.9964999999999999,0
ling_mini_base,66,0.9904,0
ling_mini_base,67,0.9950999999999999,0
ling_mini_base,68,0.9963,0
ling_mini_base,69,0.9939,0
ling_mini_base,70,0.9943000000000001,0
ling_mini_base,71,0.9939,0
ling_mini_base,72,0.994,0
ling_mini_base,73,0.9964,0
ling_mini_base,74,0.9959,0
ling_mini_base,75,0.9942,0
ling_mini_base,76,0.9955999999999999,0
ling_mini_base,77,0.996,0
ling_mini_base,78,0.9884999999999999,0
ling_mini_base,79,0.9687,0
ling_mini_base,80,0.9942,0
ling_mini_base,81,0.9943,0
ling_mini_base,82,0.9963000000000001,0
ling_mini_base,83,0.9926999999999999,0
ling_mini_base,84,0.9956,0
ling_mini_base,85,0.9959,0
ling_mini_base,86,0.9946,0
ling_mini_base,87,0.9937,0
ling_mini_base,88,0.9929,0
ling_mini_base,89,0.9949,0
ling_mini_base,90,0.9944,0
ling_mini_base,91,0.9944000000000001,0
ling_mini_base,92,0.9937,0
ling_mini_base,93,0.9949,0
ling_mini_base,94,0.9919,0
ling_mini_base,95,0.9956999999999999,0
ling_mini_base,96,0.9956,0
ling_mini_base,97,0.9946999999999999,0
ling_mini_base,98,0.9954999999999999,0
ling_mini_base,99,0.9918,0
ling_mini_base,100,0.9947999999999999,0
ling_mini_base,101,0.9964999999999999,0
ling_mini_base,102,0.9948000000000001,0
ling_mini_base,103,0.9862,0
ling_mini_base,104,0.9910000000000001,0
ling_mini_base,105,0.9945999999999999,0
ling_mini_base,106,0.9932000000000001,0
ling_mini_base,107,0.9913,0
ling_mini_base,108,0.9909,0
ling_mini_base,109,0.9952,0
ling_mini_base,110,0.9869,0
ling_mini_base,111,0.9929000000000001,0
ling_mini_base,112,0.9923,0
ling_mini_base,113,0.9954000000000001,0
ling_mini_base,114,0.9968,0
ling_mini_base,115,0.9938,0
ling_mini_base,116,0.994,0
ling_mini_base,117,0.9935999999999999,0
ling_mini_base,118,0.9936,0
ling_mini_base,119,0.9939,0
ling_mini_base,120,0.9950999999999999,0
ling_mini_base,121,0.9924999999999999,0
ling_mini_base,122,0.9925,0
ling_mini_base,123,0.9924,0
ling_mini_base,124,0.9935,0
ling_mini_base,125,0.994,0
ling_mini_base,126,0.9946999999999999,0
ling_mini_base,127,0.9932,0
ling_mini_base,128,0.9947999999999999,0
ling_mini_base,201,0.9945,0
ling_mini_base,202,0.9956999999999999,0
ling_mini_base,203,0.9933,0
ling_mini_base,204,0.9924000000000001,0
ling_mini_base,205,0.9942000000000001,0
ling_mini_base,206,0.9927999999999999,0
ling_mini_base,207,0.9935,0
ling_mini_base,208,0.9962,0
ling_mini_base,209,0.9951000000000001,0
ling_mini_base,210,0.994,0
ling_mini_base,211,0.9933000000000001,0
ling_mini_base,212,0.9916,0
ling_mini_base,213,0.994,0
ling_mini_base,214,0.9954000000000001,0
ling_mini_base,215,0.9892,0
ling_mini_base,216,0.9937,0
ling_mini_base,217,0.9904,0
ling_mini_base,218,0.9934,0
ling_mini_base,219,0.9949,0
ling_mini_base,220,0.9905,0
ling_mini_base,221,0.9901,0
ling_mini_base,222,0.9944,0
ling_mini_base,223,0.9895,0
ling_mini_base,224,0.9911,0
ling_mini_base,225,0.9934,0
ling_mini_base,226,0.9939,0
ling_mini_base,227,0.9935,0
ling_mini_base,228,0.9926,0
ling_mini_base,229,0.9953000000000001,0
ling_mini_base,230,0.9926999999999999,0
ling_mini_base,301,0.9951000000000001,0
ling_mini_base,302,0.9910000000000001,0
ling_mini_base,303,0.996,0
ling_mini_base,304,0.9931,0
ling_mini_base,305,0.9949,0
ling_mini_base,306,0.9929,0
ling_mini_base,307,0.9978,0
ling_mini_base,308,0.9865999999999999,0
ling_mini_base,309,0.9947,0
ling_mini_base,310,0.9965999999999999,0
ling_mini_base,311,0.9951,0
ling_mini_base,312,0.9942000000000002,0
ling_mini_base,313,0.9897,0
ling_mini_base,314,0.9954000000000001,0
ling_mini_base,315,0.9924000000000001,0
ling_mini_base,316,0.9947000000000001,0
ling_mini_base,317,0.9925000000000002,0
ling_mini_base,318,0.9956,0
ling_mini_base,319,0.9942,0
ling_mini_base,320,0.9942,0
ling_mini_base,321,0.9940999999999999,0
ling_mini_base,322,0.9942,0
ling_mini_base,323,0.996,0
